"BUDGET_YEAR","BUDGET_MONTH","GROUP_ID_MAIN_DESC","CASE_AMT","TREASURY_AMT","UPDATE_DATE"
"2565","ธันวาคม","สนามแข่งม้า","0","0","2566-09-05"
"2566","ธันวาคม","สนามแข่งม้า","0","0","2566-09-05"
"2567","ธันวาคม","สนามแข่งม้า","0","0","2566-09-05"
"2565","ธันวาคม","สลากกินแบ่ง","0","0","2566-09-05"
"2566","ธันวาคม","สลากกินแบ่ง","0","0","2566-09-05"
"2567","ธันวาคม","สลากกินแบ่ง","0","0","2566-09-05"
"2565","ธันวาคม","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2566","ธันวาคม","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2567","ธันวาคม","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2563","ธันวาคม","สุรา","13863661.61","8368597.42","2566-09-05"
"2564","ธันวาคม","สุรา","12852483.28","7751890","2566-09-05"
"2565","ธันวาคม","สุรา","10290259.57","6216255.77","2566-09-05"
"2566","ธันวาคม","สุรา","11272473.38","6800384.03","2566-09-05"
"2567","ธันวาคม","สุรา","0","0","2566-09-05"
"2565","ธันวาคม","หินอ่อนและหินแกรนิต","0","0","2566-09-05"
"2566","ธันวาคม","หินอ่อนและหินแกรนิต","0","0","2566-09-05"
"2567","ธันวาคม","หินอ่อนและหินแกรนิต","0","0","2566-09-05"
"2565","ธันวาคม","อื่นๆ","0","0","2566-09-05"
"2566","ธันวาคม","อื่นๆ","0","0","2566-09-05"
"2567","ธันวาคม","อื่นๆ","0","0","2566-09-05"
"2565","ธันวาคม","เครื่องขายเครื่องดื่ม","0","0","2566-09-05"
"2566","ธันวาคม","เครื่องขายเครื่องดื่ม","0","0","2566-09-05"
"2567","ธันวาคม","เครื่องขายเครื่องดื่ม","0","0","2566-09-05"
"2563","ธันวาคม","เครื่องดื่ม","617405.93","371243.56","2566-09-05"
"2564","ธันวาคม","เครื่องดื่ม","21186.6","12711.96","2566-09-05"
"2565","ธันวาคม","เครื่องดื่ม","422349.7","254209.82","2566-09-05"
"2566","ธันวาคม","เครื่องดื่ม","384038.58","241223.15","2566-09-05"
"2567","ธันวาคม","เครื่องดื่ม","0","0","2566-09-05"
"2565","ธันวาคม","เครื่องปรับอากาศ","0","0","2566-09-05"
"2566","ธันวาคม","เครื่องปรับอากาศ","0","0","2566-09-05"
"2567","ธันวาคม","เครื่องปรับอากาศ","0","0","2566-09-05"
"2563","ธันวาคม","เบียร์","254116.45","154469.87","2566-09-05"
"2564","ธันวาคม","เบียร์","313835.93","188301.57","2566-09-05"
"2565","ธันวาคม","เบียร์","169404.64","101642.78","2566-09-05"
"2566","ธันวาคม","เบียร์","188619","113171.4","2566-09-05"
"2567","ธันวาคม","เบียร์","0","0","2566-09-05"
"2565","ธันวาคม","เรือ","0","0","2566-09-05"
"2566","ธันวาคม","เรือ","0","0","2566-09-05"
"2567","ธันวาคม","เรือ","0","0","2566-09-05"
"2563","ธันวาคม","แก้วและเครื่องแก้ว","","","2566-09-05"
"2565","ธันวาคม","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2566","ธันวาคม","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2567","ธันวาคม","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2563","ธันวาคม","แบตเตอรี่","304320","198592","2566-09-05"
"2564","ธันวาคม","แบตเตอรี่","473184","297310.4","2566-09-05"
"2565","ธันวาคม","แบตเตอรี่","626281.1","380168.66","2566-09-05"
"2566","ธันวาคม","แบตเตอรี่","978452.74","594271.66","2566-09-05"
"2567","ธันวาคม","แบตเตอรี่","0","0","2566-09-05"
"2565","ธันวาคม","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2566","ธันวาคม","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2567","ธันวาคม","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2565","ธันวาคม","โทรคมนาคม","0","0","2566-09-05"
"2566","ธันวาคม","โทรคมนาคม","0","0","2566-09-05"
"2567","ธันวาคม","โทรคมนาคม","0","0","2566-09-05"
"2563","ธันวาคม","ไนท์คลับและดิสโกเธค","32000","30400","2566-09-05"
"2564","ธันวาคม","ไนท์คลับและดิสโกเธค","1000","800","2566-09-05"
"2565","ธันวาคม","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2566","ธันวาคม","ไนท์คลับและดิสโกเธค","32000","30000","2566-09-05"
"2567","ธันวาคม","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2563","ธันวาคม","ไพ่","316184.19","189710.51","2566-09-05"
"2564","ธันวาคม","ไพ่","498331","298998.6","2566-09-05"
"2565","ธันวาคม","ไพ่","554958.8","332975.28","2566-09-05"
"2566","ธันวาคม","ไพ่","363510.6","218106.36","2566-09-05"
"2567","ธันวาคม","ไพ่","0","0","2566-09-05"
"2563","มกราคม","น้ำมันและผลิตภัณฑ์น้ำมัน","3915297.1","2370030.46","2566-09-05"
"2564","มกราคม","น้ำมันและผลิตภัณฑ์น้ำมัน","10194018.04","6148705.82","2566-09-05"
"2565","มกราคม","น้ำมันและผลิตภัณฑ์น้ำมัน","1252990.5","782211.5","2566-09-05"
"2566","มกราคม","น้ำมันและผลิตภัณฑ์น้ำมัน","4769701.75","2917301.45","2566-09-05"
